,Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Convex_Area,Equiv_Diameter,Eccentricity,Solidity,Extent,Roundness,Aspect_Ration,Compactness,Class
46,88746,1118.471,427.3974,264.9041,89419,336.1472,0.7848,0.9925,0.7155,0.8915,1.6134,0.7865,Çerçevelik
47,65411,962.03,359.5264,232.5253,66102,288.5895,0.7627,0.9895,0.7266,0.8881,1.5462,0.8027,Çerçevelik
48,69621,1055.941,427.1444,207.8892,70399,297.7318,0.8736,0.9889,0.6222,0.7846,2.0547,0.697,Çerçevelik
49,76930,1063.152,417.3471,235.203,77536,312.9702,0.8261,0.9922,0.6703,0.8553,1.7744,0.7499,Çerçevelik
50,64646,1030.018,431.0951,191.7079,65209,286.8969,0.8957,0.9914,0.5681,0.7657,2.2487,0.6655,Ürgüp Sivrisi
51,77223,1072.853,424.1167,232.6529,77971,313.5656,0.8361,0.9904,0.6641,0.8431,1.823,0.7393,Çerçevelik
52,105261,1283.419,518.0744,260.564,106036,366.0908,0.8643,0.9927,0.672,0.803,1.9883,0.7066,Ürgüp Sivrisi
53,84565,1178.591,485.3229,224.5235,85993,328.1334,0.8866,0.9834,0.7316,0.765,2.1616,0.6761,Çerçevelik
54,94617,1190.017,472.3136,255.8155,95364,347.088,0.8406,0.9922,0.7159,0.8396,1.8463,0.7349,Çerçevelik
55,73030,1107.544,468.1412,199.4204,73777,304.9339,0.9047,0.9899,0.5559,0.7482,2.3475,0.6514,Ürgüp Sivrisi
56,71362,1049.755,414.9604,219.8383,72526,301.4315,0.8481,0.984,0.6529,0.8138,1.8876,0.7264,Çerçevelik
57,87725,1129.926,438.6437,255.0491,88442,334.2079,0.8136,0.9919,0.7262,0.8634,1.7198,0.7619,Çerçevelik
58,91684,1258.478,530.5746,221.7048,92605,341.6661,0.9085,0.9901,0.7461,0.7275,2.3932,0.644,Ürgüp Sivrisi
59,70609,1011.299,393.8305,228.639,71270,299.8369,0.8142,0.9907,0.6798,0.8676,1.7225,0.7613,Çerçevelik
60,85309,1265.954,550.4167,200.7066,86486,329.5737,0.9311,0.9864,0.7082,0.6689,2.7424,0.5988,Ürgüp Sivrisi
61,70452,1030.873,406.2796,222.2445,71301,299.5034,0.8371,0.9881,0.6972,0.8331,1.8281,0.7372,Çerçevelik
62,99088,1284.605,541.8463,233.7242,99886,355.194,0.9022,0.992,0.6469,0.7546,2.3183,0.6555,Ürgüp Sivrisi
63,72184,1054.808,416.5983,220.9089,72940,303.1625,0.8478,0.9896,0.6359,0.8153,1.8858,0.7277,Çerçevelik
64,94907,1165.418,447.2711,271.3401,95558,347.6195,0.795,0.9932,0.7462,0.8781,1.6484,0.7772,Çerçevelik
65,85039,1130.265,433.7324,250.862,85907,329.0517,0.8158,0.9899,0.6958,0.8365,1.729,0.7587,Çerçevelik
66,97595,1216.695,463.6531,270.2814,98794,352.5079,0.8125,0.9879,0.6919,0.8285,1.7154,0.7603,Çerçevelik
67,91103,1219.041,511.1503,228.2605,91730,340.5818,0.8948,0.9932,0.7589,0.7704,2.2393,0.6663,Ürgüp Sivrisi
68,55763,926.686,377.8193,188.2779,56282,266.4576,0.867,0.9908,0.6657,0.816,2.0067,0.7053,Ürgüp Sivrisi
69,71301,1063.55,435.476,209.8068,72045,301.3026,0.8763,0.9897,0.6796,0.7921,2.0756,0.6919,Ürgüp Sivrisi
70,80620,1115.305,442.9678,233.8452,81544,320.3882,0.8493,0.9887,0.6338,0.8145,1.8943,0.7233,Çerçevelik
71,79094,1067.391,391.1249,257.9062,79802,317.3415,0.7518,0.9911,0.749,0.8724,1.5165,0.8114,Çerçevelik
72,73830,1049.961,408.9587,231.2489,74577,306.5995,0.8248,0.99,0.6502,0.8416,1.7685,0.7497,Çerçevelik
73,93261,1229.362,509.301,234.175,93958,344.5919,0.888,0.9926,0.7502,0.7754,2.1749,0.6766,Ürgüp Sivrisi
74,72713,1039.375,401.8137,231.1989,73336,304.2714,0.8179,0.9915,0.6861,0.8458,1.738,0.7572,Çerçevelik
75,80283,1140.197,471.151,217.973,80940,319.7178,0.8865,0.9919,0.6921,0.776,2.1615,0.6786,Ürgüp Sivrisi
76,65313,985.188,378.0683,221.3678,65985,288.3732,0.8107,0.9898,0.6706,0.8456,1.7079,0.7628,Çerçevelik
77,70771,1016.414,387.1938,234.0186,71451,300.1807,0.7967,0.9905,0.7201,0.8608,1.6545,0.7753,Çerçevelik
78,81489,1177.822,497.0192,209.5395,82259,322.1103,0.9068,0.9906,0.7245,0.7382,2.372,0.6481,Ürgüp Sivrisi
79,104814,1247.831,470.9968,284.5436,105956,365.3126,0.7969,0.9892,0.733,0.8459,1.6553,0.7756,Çerçevelik
80,81422,1153.561,480.8185,216.2706,82045,321.9778,0.8931,0.9924,0.6746,0.7689,2.2232,0.6696,Ürgüp Sivrisi
81,99828,1312.477,543.4908,234.6214,100991,356.5178,0.902,0.9885,0.6112,0.7282,2.3165,0.656,Ürgüp Sivrisi
82,100038,1292.66,534.7156,239.304,101116,356.8926,0.8943,0.9893,0.7503,0.7523,2.2345,0.6674,Ürgüp Sivrisi
83,84878,1222.544,520.9572,208.7279,85960,328.7401,0.9162,0.9874,0.7335,0.7136,2.4959,0.631,Ürgüp Sivrisi
84,97248,1244.141,513.9794,242.3916,97960,351.8807,0.8818,0.9927,0.7582,0.7895,2.1205,0.6846,Ürgüp Sivrisi
85,98628,1204.172,460.7255,273.9251,99602,354.3686,0.8041,0.9902,0.7212,0.8547,1.6819,0.7692,Çerçevelik
86,72291,1069.258,430.852,215.6334,73441,303.3871,0.8657,0.9843,0.663,0.7946,1.9981,0.7042,Çerçevelik
87,78618,1174.681,475.5418,212.0995,79874,316.3851,0.895,0.9843,0.5588,0.716,2.2421,0.6653,Ürgüp Sivrisi
88,67762,1135.367,506.0381,172.8806,68540,293.7299,0.9398,0.9886,0.7775,0.6606,2.9271,0.5805,Ürgüp Sivrisi
89,95817,1261.135,523.8675,233.9625,96609,349.2821,0.8947,0.9918,0.6487,0.7571,2.2391,0.6667,Ürgüp Sivrisi
90,80481,1105.159,440.6685,233.3747,81334,320.1118,0.8483,0.9895,0.6674,0.828,1.8882,0.7264,Çerçevelik
91,71723,1109.773,472.3027,194.7114,72336,302.1929,0.9111,0.9915,0.7271,0.7318,2.4257,0.6398,Ürgüp Sivrisi
92,71563,1099.323,470.8907,194.1545,72156,301.8557,0.911,0.9918,0.6749,0.7441,2.4253,0.641,Ürgüp Sivrisi
93,78435,1110.106,459.7178,217.642,78988,316.0167,0.8808,0.993,0.7532,0.7998,2.1123,0.6874,Ürgüp Sivrisi
94,87034,1162.092,470.0361,237.0354,88251,332.8891,0.8635,0.9862,0.7623,0.8099,1.983,0.7082,Çerçevelik
95,87576,1158.624,459.7797,243.7052,88477,333.924,0.848,0.9898,0.6403,0.8198,1.8866,0.7263,Çerçevelik
96,99057,1264.881,511.9447,246.9981,99987,355.1384,0.8759,0.9907,0.6015,0.778,2.0727,0.6937,Çerçevelik
97,78888,1198.946,393.6267,258.0186,80294,316.9279,0.7552,0.9825,0.7368,0.6896,1.5256,0.8051,Çerçevelik
98,75110,1061.797,417.4273,231.0868,76105,309.2459,0.8328,0.9869,0.6705,0.8372,1.8064,0.7408,Çerçevelik
99,73492,1078.682,425.3559,221.2959,74329,305.8969,0.854,0.9887,0.6878,0.7937,1.9221,0.7192,Çerçevelik
100,90489,1180.429,468.9082,247.2828,91352,339.4321,0.8496,0.9906,0.7195,0.8161,1.8962,0.7239,Çerçevelik
101,56561,902.59,342.3154,210.7994,57075,268.3574,0.7879,0.991,0.7351,0.8725,1.6239,0.7839,Çerçevelik
102,97902,1233.711,491.1406,254.7969,99020,353.0619,0.8549,0.9887,0.7756,0.8083,1.9276,0.7189,Çerçevelik
103,65452,1012.716,409.3489,204.1677,66065,288.6799,0.8667,0.9907,0.7458,0.802,2.005,0.7052,Çerçevelik
104,65691,1122.062,492.8912,170.134,66383,289.2065,0.9385,0.9896,0.468,0.6557,2.8971,0.5868,Ürgüp Sivrisi
105,90106,1300.553,501.3463,231.4713,91944,338.713,0.887,0.98,0.6802,0.6694,2.1659,0.6756,Ürgüp Sivrisi
106,68063,1139.029,505.1026,173.269,68640,294.3816,0.9393,0.9916,0.7551,0.6593,2.9151,0.5828,Ürgüp Sivrisi
107,84842,1130.448,429.4275,253.5051,86185,328.6703,0.8072,0.9844,0.6864,0.8343,1.694,0.7654,Çerçevelik
108,86012,1211.934,515.8088,214.1546,86709,330.9288,0.9097,0.992,0.7661,0.7359,2.4086,0.6416,Ürgüp Sivrisi
109,132035,1520.525,640.1907,265.3734,133706,410.0149,0.91,0.9875,0.5606,0.7176,2.4124,0.6405,Ürgüp Sivrisi
110,82296,1171.846,484.4867,216.6252,83021,323.7013,0.8945,0.9913,0.7578,0.7531,2.2365,0.6681,Ürgüp Sivrisi
111,98568,1373.866,561.5072,226.9396,100509,354.2607,0.9147,0.9807,0.5299,0.6562,2.4743,0.6309,Ürgüp Sivrisi
112,60862,993.659,412.4361,188.213,61487,278.3737,0.8898,0.9898,0.6192,0.7746,2.1913,0.6749,Ürgüp Sivrisi
113,85670,1188.601,492.793,222.0777,86496,330.2702,0.8927,0.9905,0.6533,0.762,2.219,0.6702,Ürgüp Sivrisi
114,108654,1376.437,584.4799,238.2707,109985,371.9443,0.9131,0.9879,0.6113,0.7207,2.453,0.6364,Ürgüp Sivrisi
115,89466,1203.82,468.1915,244.8638,90793,337.508,0.8523,0.9854,0.7427,0.7758,1.912,0.7209,Ürgüp Sivrisi
116,57012,906.564,343.189,213.5493,57758,269.4252,0.7828,0.9871,0.6875,0.8717,1.6071,0.7851,Çerçevelik
117,64602,1006.09,409.7334,201.4131,65133,286.7993,0.8708,0.9918,0.7466,0.802,2.0343,0.7,Ürgüp Sivrisi
118,78553,1160.606,488.4605,206.2977,79303,316.2543,0.9064,0.9905,0.545,0.7328,2.3677,0.6475,Ürgüp Sivrisi
119,87984,1264.041,545.023,205.9718,88755,334.7009,0.9258,0.9913,0.7808,0.692,2.6461,0.6141,Ürgüp Sivrisi
120,93178,1124.779,405.6369,293.47,93976,344.4385,0.6903,0.9915,0.7755,0.9255,1.3822,0.8491,Çerçevelik
121,102794,1304.159,539.3526,243.5878,103596,361.7753,0.8922,0.9923,0.7039,0.7595,2.2142,0.6708,Ürgüp Sivrisi
122,85579,1206.655,511.7507,213.8361,86299,330.0948,0.9085,0.9917,0.5534,0.7386,2.3932,0.645,Ürgüp Sivrisi
123,71027,1144.787,500.4918,182.442,71698,300.7231,0.9312,0.9906,0.7182,0.6811,2.7433,0.6009,Ürgüp Sivrisi
124,93470,1197.947,457.1034,262.3202,95359,344.9778,0.8189,0.9802,0.7231,0.8185,1.7425,0.7547,Çerçevelik
125,80417,1100.4,430.1269,238.7222,81092,319.9845,0.8318,0.9917,0.7502,0.8346,1.8018,0.7439,Çerçevelik
126,95150,1243.634,513.2519,239.3845,96438,348.0643,0.8846,0.9866,0.7451,0.7731,2.144,0.6782,Çerçevelik
127,135455,1451.905,580.8759,297.7952,136373,415.2911,0.8586,0.9933,0.6928,0.8075,1.9506,0.7149,Ürgüp Sivrisi
128,67628,1060.599,446.1656,194.1681,68180,293.4393,0.9003,0.9919,0.7456,0.7555,2.2978,0.6577,Ürgüp Sivrisi
129,64543,959.774,364.3535,226.7457,65140,286.6683,0.7828,0.9908,0.703,0.8805,1.6069,0.7868,Çerçevelik
130,68712,1025.339,410.3945,214.398,69352,295.7817,0.8527,0.9908,0.7175,0.8213,1.9142,0.7207,Ürgüp Sivrisi
131,99069,1275.454,530.3301,238.6435,99759,355.1599,0.893,0.9931,0.6941,0.7653,2.2223,0.6697,Ürgüp Sivrisi
132,68697,1111.683,481.5484,183.763,69826,295.7494,0.9243,0.9838,0.7106,0.6985,2.6205,0.6142,Ürgüp Sivrisi
133,80252,1112.983,452.8721,226.4513,80819,319.6561,0.866,0.993,0.6762,0.8141,1.9999,0.7058,Ürgüp Sivrisi
134,77957,1080.957,426.9829,233.7188,78761,315.0523,0.8369,0.9898,0.7229,0.8384,1.8269,0.7379,Çerçevelik
135,70087,1004.981,389.6974,229.8159,70788,298.7265,0.8076,0.9901,0.6869,0.872,1.6957,0.7666,Çerçevelik
136,56533,899.493,345.5949,209.7973,57101,268.291,0.7947,0.9901,0.7129,0.878,1.6473,0.7763,Çerçevelik
137,68063,1027.533,410.4732,212.6987,68872,294.3816,0.8553,0.9883,0.6511,0.8101,1.9298,0.7172,Çerçevelik
138,103910,1277.054,517.2786,256.3674,104580,363.7339,0.8685,0.9936,0.7017,0.8007,2.0177,0.7032,Ürgüp Sivrisi
139,62381,958.389,353.404,225.5972,63216,281.8261,0.7697,0.9868,0.7103,0.8535,1.5665,0.7975,Çerçevelik
140,68506,1003.804,386.3475,226.9065,69259,295.338,0.8094,0.9891,0.7349,0.8544,1.7027,0.7644,Çerçevelik
141,97349,1331.561,570.1317,218.0814,98088,352.0633,0.924,0.9925,0.5043,0.69,2.6143,0.6175,Ürgüp Sivrisi
142,95776,1216.306,471.4701,260.0943,97009,349.2074,0.8341,0.9873,0.6596,0.8135,1.8127,0.7407,Ürgüp Sivrisi
143,72566,1030.822,401.7252,230.4493,73117,303.9637,0.8191,0.9925,0.7393,0.8582,1.7432,0.7566,Çerçevelik
144,81737,1144.461,469.1301,222.8947,82574,322.6,0.8799,0.9899,0.7354,0.7842,2.1047,0.6877,Çerçevelik
145,73428,1040.181,396.1797,236.9738,74075,305.7637,0.8014,0.9913,0.735,0.8528,1.6718,0.7718,Çerçevelik
146,56276,888.242,326.1485,220.2388,56831,267.6805,0.7376,0.9902,0.7453,0.8963,1.4809,0.8207,Çerçevelik
147,93720,1192.994,472.7226,252.9003,94547,345.4389,0.8449,0.9913,0.6811,0.8275,1.8692,0.7307,Ürgüp Sivrisi
148,85133,1240.763,531.5886,204.8944,86272,329.2335,0.9227,0.9868,0.5787,0.6949,2.5945,0.6193,Ürgüp Sivrisi
149,99668,1276.434,489.2537,264.2007,101283,356.232,0.8417,0.9841,0.7591,0.7687,1.8518,0.7281,Ürgüp Sivrisi
150,64809,1003.578,402.3724,206.258,65578,287.2584,0.8586,0.9883,0.6382,0.8086,1.9508,0.7139,Çerçevelik
151,84542,1169.42,483.3424,224.0558,85293,328.0887,0.8861,0.9912,0.617,0.7769,2.1572,0.6788,Ürgüp Sivrisi
152,73827,1077.447,430.5646,219.4656,74631,306.5933,0.8603,0.9892,0.7265,0.7992,1.9619,0.7121,Çerçevelik
153,69537,1020.119,404.4823,219.4945,70179,297.5521,0.84,0.9909,0.7609,0.8397,1.8428,0.7356,Çerçevelik
154,69842,1105.285,469.4984,191.3546,70742,298.204,0.9132,0.9873,0.6488,0.7184,2.4536,0.6352,Ürgüp Sivrisi
155,58896,964.351,390.8858,193.0709,59536,273.8407,0.8695,0.9893,0.6204,0.7958,2.0246,0.7006,Ürgüp Sivrisi
156,82031,1108.321,429.8897,243.2943,82716,323.1797,0.8244,0.9917,0.7016,0.8392,1.767,0.7518,Çerçevelik
157,101872,1235.253,480.9564,270.7833,102668,360.1492,0.8264,0.9922,0.68,0.839,1.7762,0.7488,Çerçevelik
158,69969,1046.42,424.0555,211.4142,70593,298.475,0.8669,0.9912,0.7081,0.803,2.0058,0.7039,Ürgüp Sivrisi
159,104263,1261.525,488.8553,272.7207,105537,364.3512,0.8299,0.9879,0.6803,0.8233,1.7925,0.7453,Çerçevelik
160,91618,1180.493,459.5174,254.4405,92429,341.5431,0.8327,0.9912,0.7415,0.8262,1.806,0.7433,Çerçevelik
161,65789,1047.017,424.7019,198.0334,66544,289.4221,0.8846,0.9887,0.5879,0.7541,2.1446,0.6815,Ürgüp Sivrisi
162,96856,1208.21,457.7499,271.2049,98253,351.1707,0.8056,0.9858,0.7021,0.8338,1.6878,0.7672,Çerçevelik
163,95145,1173.389,444.1425,273.3632,96080,348.0551,0.7881,0.9903,0.7481,0.8684,1.6247,0.7837,Çerçevelik
164,68805,1048.514,427.2525,205.8875,69472,295.9818,0.8762,0.9904,0.7786,0.7865,2.0752,0.6928,Çerçevelik
165,85346,1189.936,491.5606,222.7623,86234,329.6451,0.8914,0.9897,0.5997,0.7574,2.2067,0.6706,Ürgüp Sivrisi
166,92089,1240.607,512.5838,229.6727,92961,342.4199,0.894,0.9906,0.6155,0.7519,2.2318,0.668,Ürgüp Sivrisi
167,88345,1144.065,445.9253,253.1178,89255,335.3869,0.8233,0.9898,0.7489,0.8482,1.7617,0.7521,Çerçevelik
168,86092,1218.625,520.3164,211.0954,86861,331.0827,0.914,0.9911,0.7465,0.7285,2.4648,0.6363,Ürgüp Sivrisi
169,77358,1147.854,488.9031,201.6832,78007,313.8396,0.9109,0.9917,0.6538,0.7378,2.4241,0.6419,Ürgüp Sivrisi
170,103085,1364.963,596.0492,221.0875,104076,362.287,0.9287,0.9905,0.7239,0.6953,2.696,0.6078,Ürgüp Sivrisi
171,73684,1097.223,439.4299,214.9435,74677,306.2962,0.8722,0.9867,0.6823,0.7691,2.0444,0.697,Çerçevelik
172,71369,1102.261,459.4141,199.3489,72310,301.4462,0.901,0.987,0.6055,0.7382,2.3046,0.6562,Ürgüp Sivrisi
173,91813,1159.019,450.0767,260.7429,92565,341.9063,0.8151,0.9919,0.6806,0.8589,1.7261,0.7597,Çerçevelik
174,95173,1192.175,463.3702,262.5644,96002,348.1063,0.824,0.9914,0.7058,0.8415,1.7648,0.7512,Çerçevelik
175,94608,1167.109,443.5395,272.1751,95556,347.0715,0.7896,0.9901,0.7272,0.8728,1.6296,0.7825,Çerçevelik
176,80741,1127.93,456.96,226.8658,81774,320.6285,0.8681,0.9874,0.6942,0.7975,2.0142,0.7017,Çerçevelik
177,56801,1008.319,430.8933,168.5249,57790,268.9262,0.9203,0.9829,0.6397,0.7021,2.5569,0.6241,Ürgüp Sivrisi
178,91820,1199.129,476.8586,246.5577,92719,341.9194,0.856,0.9903,0.684,0.8024,1.9341,0.717,Çerçevelik
179,96580,1213.308,464.0005,266.1265,97873,350.67,0.8192,0.9868,0.7444,0.8244,1.7435,0.7558,Çerçevelik
180,77786,1044.115,399.3788,248.7085,78364,314.7065,0.7824,0.9926,0.7295,0.8966,1.6058,0.788,Çerçevelik
181,91686,1294.424,567.604,206.4704,92512,341.6698,0.9315,0.9911,0.6504,0.6876,2.7491,0.602,Ürgüp Sivrisi
182,59466,912.152,340.6951,222.9567,59949,275.1626,0.7561,0.9919,0.7382,0.8981,1.5281,0.8077,Çerçevelik
183,80288,1193.41,496.2107,207.5564,82781,319.7278,0.9083,0.9699,0.6049,0.7084,2.3907,0.6443,Çerçevelik
184,74924,1089.775,439.7919,217.9287,75977,308.8628,0.8686,0.9861,0.6145,0.7928,2.0181,0.7023,Çerçevelik
185,102193,1288.79,520.3049,252.4221,103526,360.7162,0.8744,0.9871,0.7502,0.7732,2.0612,0.6933,Ürgüp Sivrisi
186,85873,1156.115,453.394,242.7586,86909,330.6613,0.8446,0.9881,0.6992,0.8074,1.8677,0.7293,Çerçevelik
187,83192,1234.263,541.2917,196.1894,83761,325.4587,0.932,0.9932,0.7515,0.6862,2.759,0.6013,Ürgüp Sivrisi
188,69861,1040.909,416.9558,214.0517,70653,298.2445,0.8582,0.9888,0.7438,0.8103,1.9479,0.7153,Çerçevelik
189,69230,1034.131,409.9227,217.9278,70017,296.8945,0.847,0.9888,0.7276,0.8135,1.881,0.7243,Çerçevelik
190,61726,975.93,387.5365,203.772,62541,280.3426,0.8506,0.987,0.7553,0.8144,1.9018,0.7234,Çerçevelik
191,72637,1021.445,398.5861,232.6127,73209,304.1123,0.812,0.9922,0.7424,0.8749,1.7135,0.763,Çerçevelik
192,99759,1306.807,560.3377,226.9815,100553,356.3946,0.9143,0.9921,0.7787,0.7341,2.4686,0.636,Ürgüp Sivrisi
193,55848,936.426,383.984,185.8999,56278,266.6606,0.875,0.9924,0.7272,0.8003,2.0655,0.6945,Ürgüp Sivrisi
194,65376,1052.245,446.9055,186.5714,65968,288.5122,0.9087,0.991,0.6307,0.742,2.3954,0.6456,Ürgüp Sivrisi
195,79578,1083.106,417.1719,244.1431,80361,318.3109,0.8109,0.9903,0.7002,0.8524,1.7087,0.763,Çerçevelik
196,82133,1153.061,444.589,235.6439,83220,323.3806,0.848,0.9869,0.7324,0.7763,1.8867,0.7274,Çerçevelik
197,72901,1079.894,446.233,208.3804,73523,304.6645,0.8843,0.9915,0.75,0.7856,2.1414,0.6827,Çerçevelik
198,65186,1032.756,428.1762,194.6023,65755,288.0927,0.8908,0.9913,0.5706,0.768,2.2003,0.6728,Ürgüp Sivrisi
199,65098,1004.599,412.1801,201.6543,65744,287.8982,0.8722,0.9902,0.7054,0.8106,2.044,0.6985,Ürgüp Sivrisi
200,86731,1185.141,493.0099,224.6722,87625,332.3091,0.8901,0.9898,0.7274,0.776,2.1944,0.674,Ürgüp Sivrisi
201,50670,914.547,389.9551,165.8306,51092,253.9981,0.9051,0.9917,0.7727,0.7613,2.3515,0.6514,Ürgüp Sivrisi
202,90332,1164.363,452.3181,255.2347,91395,339.1375,0.8256,0.9884,0.6711,0.8373,1.7722,0.7498,Çerçevelik
203,98464,1397.232,610.3292,206.2386,99519,354.0738,0.9412,0.9894,0.5594,0.6338,2.9593,0.5801,Ürgüp Sivrisi
204,78250,1102.289,442.9966,225.7107,78959,315.6438,0.8605,0.991,0.7479,0.8093,1.9627,0.7125,Çerçevelik
